SiteNo,DecLatVa [deg],DecLongVa [deg],AquiferType
430840101213602.00,43.14361111,-100.7488889,UNCONFINED
430842100411301.00,43.14472783,-100.6890283,UNCONFINED
430923099461001.00,43.15639127,-99.76983717,UNCONFINED
430923101484301.00,43.15777547,-101.8120934,CONFINED
430924100460601.00,43.1575,-100.7691667,UNCONFINED
430925101272001.00,43.15722248,-101.4551495,UNCONFINED
430928101532401.00,43.15777436,-101.8909833,UNCONFINED
430932100390001.00,43.15833894,-100.6498604,UNCONFINED
430949101292701.00,43.16361068,-101.4912606,UNCONFINED
430959100444001.00,43.15806087,-100.7484748,UNCONFINED
431006099163801.00,43.16833307,-99.27760033,UNCONFINED
431010101211801.00,43.17139002,-101.3565389,UNCONFINED
431018101152001.00,43.17166783,-101.3537611,UNCONFINED
431018101212001.00,43.17166914,-101.2559837,UNCONFINED
431020100243501.00,43.17222811,-100.4101309,CONFINED
431022101555001.00,43.17277351,-101.9312619,UNCONFINED
431101099211901.00,43.18361136,-99.35565867,UNCONFINED
431109100445901.00,43.18666667,-100.7497222,UNCONFINED
431153099212201.00,43.19805576,-99.35649195,UNCONFINED
431156099472601.00,43.19889144,-99.87178368,UNCONFINED
431156099521701.00,43.19889094,-99.79094864,UNCONFINED
431250101163702.00,43.21444444,-101.2763889,UNCONFINED
431255101212001.00,43.21583311,-101.3559835,UNCONFINED
431330099484501.00,43.22500189,-99.81289352,UNCONFINED
431334099520701.00,43.22611332,-99.86900586,UNCONFINED
431430100195901.00,43.24111663,-100.3323511,UNCONFINED
431434099462401.00,43.24277923,-99.77372596,UNCONFINED
431458101483001.00,43.24944047,-101.8087617,CONFINED
431530101264101.00,43.25860885,-101.4301503,UNCONFINED
431531101282701.00,43.25860823,-101.4745948,CONFINED
431608100051101.00,43.26889209,-100.0867893,UNCONFINED
431703099502901.00,43.2841679,-99.84178333,UNCONFINED
431714099510501.00,43.28722345,-99.85178361,UNCONFINED
431958101582101.00,43.33360669,-101.9745965,CONFINED
432038101223501.00,43.34555444,-101.3765376,CONFINED
432044101115201.00,43.34555646,-101.1982036,CONFINED
432310101045501.00,43.38889056,-101.0784803,UNCONFINED
432411101080701.00,43.40333452,-101.1373691,CONFINED
432554101065601.00,43.4325011,-101.1179242,CONFINED
432740101223501.00,43.46222166,-101.3757023,CONFINED
433020101394201.00,43.50555482,-101.6620914,UNCONFINED
433100102002101.00,43.51555436,-102.0062623,UNCONFINED
